B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,Group
-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-89,19
-87,-200,-200,-85,-200,-200,-200,-200,-200,-200,-80,-88,-200,-200,-200,1
-86,-97,-200,-78,-200,-200,-200,-200,-200,-200,-77,-85,-200,-200,-200,13
-200,-200,-200,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,6
-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,14
-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2
-91,-200,-200,-200,-92,-200,-95,-90,-67,-96,-200,-200,-89,-200,-200,9
-82,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,20
-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,21
-88,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-78,-83,-200,18
-85,-200,-200,-200,-200,-92,-74,-98,-81,-89,-200,-200,-90,-200,-92,16
-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,7
-81,-200,-200,-200,-95,-200,-200,-94,-73,-81,-200,-200,-69,-200,-200,23
-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,4
-82,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,20
-88,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-78,-83,-200,18
-73,-200,-200,-200,-200,-92,-81,-200,-85,-92,-200,-200,-89,-96,-200,10
-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-85,19
-200,-200,-200,-200,-200,-200,-60,-200,-200,-200,-200,-200,-200,-200,-81,6
-200,-200,-200,-200,-200,-200,-92,-81,-90,-89,-200,-200,-71,-200,-200,11
-88,-200,-200,-200,-90,-200,-91,-92,-76,-79,-200,-200,-71,-200,-200,23
-200,-200,-200,-200,-77,-200,-200,-73,-70,-200,-200,-200,-71,-200,-200,8
-79,-200,-200,-200,-89,-200,-200,-200,-66,-90,-200,-200,-80,-200,-200,9
-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,21
-86,-200,-200,-200,-200,-94,-73,-98,-81,-92,-200,-200,-94,-200,-92,16
-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2
-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,7
-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,4
-88,-200,-200,-84,-200,-200,-200,-200,-200,-200,-70,-89,-200,-200,-200,1
-83,-200,-200,-76,-200,-200,-200,-200,-200,-200,-72,-83,-200,-200,-200,13
-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,14
-86,-200,-200,-200,-200,-200,-65,-200,-200,-200,-200,-200,-200,-200,-82,6
-89,-200,-200,-87,-200,-200,-200,-200,-200,-200,-87,-85,-200,-200,-200,15
-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-77,19
-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,20
-88,-200,-200,-200,-200,-90,-75,-200,-200,-200,-200,-200,-200,-82,-200,18
-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,20
-89,-200,-200,-200,-93,-200,-93,-92,-77,-80,-200,-200,-70,-200,-200,23
-81,-200,-200,-200,-84,-200,-200,-87,-64,-94,-200,-200,-90,-200,-200,9
-88,-200,-200,-200,-200,-90,-75,-200,-200,-200,-200,-200,-200,-82,-200,18
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,21
-84,-200,-200,-200,-200,-87,-79,-95,-79,-89,-200,-200,-84,-94,-89,10
-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2
-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,7
-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-90,-93,-200,-200,-200,4
-200,-200,-200,-200,-200,-200,-200,-81,-89,-87,-200,-200,-75,-200,-200,11
-200,-200,-200,-200,-200,-200,-57,-200,-200,-200,-200,-200,-200,-200,-200,6
-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-77,19
-83,-200,-200,-200,-88,-200,-200,-96,-74,-77,-200,-200,-68,-200,-200,23
-85,-200,-200,-84,-200,-200,-200,-200,-200,-200,-83,-89,-200,-200,-200,1
-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,21
-84,-96,-200,-77,-200,-200,-200,-200,-200,-200,-72,-77,-200,-200,-200,13
-85,-200,-200,-200,-200,-200,-200,-99,-65,-81,-200,-200,-84,-200,-200,9
-85,-200,-200,-200,-200,-94,-72,-98,-79,-90,-200,-200,-91,-200,-92,16
