Group,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
20,-82,,-81,,,,,,,,,,,,
7,,,,,,,,,,,,,,,
4,,,,-85,,,,,,,-81,-86,,,
10,-85,,,,,-91,-82,,-74,-92,,,-83,,
6,-93,,,,,,-74,,,,,,-92,,
5,-81,,,,,,,,,,,,,,
16,-76,,,,,-93,-82,-93,-81,-89,,,-91,,-95
15,-81,,,-86,,,,,,,-81,-87,,,
18,-91,,,,,,,,,,,,-81,-76,
23,-80,,,,-86,,,,-73,-84,,,-73,,
9,-78,,,,-85,,-92,,-55,-84,,,-92,,
11,-91,,,,,,-99,-84,-92,,,,-87,,
2,,,,-69,,,,,,,,,,,
8,,,,,-71,,,-75,-78,,,,-79,,
3,,,,-81,,,,,,,,,,,
21,,,,,,,-75,,,,,,,,
1,-90,,,-90,,,,,,,-68,-87,,,
18,-91,,,,,,,,,,,,-81,-76,
7,-75,,,,,,,,,,,,,,
4,,,,-86,,,,,,,-92,,,,
6,-88,,,,,,-66,,,,,,,,
20,-83,,-83,,,,,,,,,,,,
14,,,,,,,-81,,,,,,,,
13,-89,,,-85,,,,,-93,,-72,-85,,,
19,,,,,,,-80,,,,,,,,-86
16,-83,,,,,-93,-80,-93,-88,-87,,,-91,,-89
20,-83,,-83,,,,,,,,,,,,
3,,,,-75,,,,,,,,,,,
23,-78,,,,-87,,,,-85,-87,,,-73,,
9,-80,,,,-84,,-93,-87,-56,-81,,,-82,,
2,,,,-67,,,,,,,,,,,
19,,,,,,,-84,,,,,,,-93,-88
10,-78,,,,,-91,-82,,-79,-90,,,-85,,
21,,,,,,,-70,,,,,,,,
5,-81,,,,,,,,,,,,,,
7,-86,,,,,,,,,,,,,,
4,,,,-88,,,,,,,-87,-92,,,
6,-89,,,,,,-67,,,,,,-86,-81,
18,,,,,,,-86,,-89,,,,-92,-82,
11,-91,,,,,,-92,-83,-93,-89,,,-75,,
1,-86,,,-84,,,,,,,-73,-92,,,
18,,,,,,,-86,,-89,,,,-92,-82,
3,,,,-79,,,,,,,,,,,
16,-80,,,,,-93,-77,-93,-82,-85,,,-91,,-89
23,-79,,,,-88,,-92,-92,,-81,,,-74,,
9,-80,,,,-91,,-90,-88,-96,-83,,,-89,,
2,,,,-60,,,,,,,,,,,
15,-88,,,-84,,,,,,,-86,-86,,,
19,,,,,,,-83,,,,,,,-92,-76
8,,,,,-81,,,-72,-83,,,,-75,,
6,,,,,,,-75,,,,,,,-91,
20,,,-80,,,,,,,,,,,,
